Site	Fire	No.	Sherd	Part	Decorated	Weight	max thickness	exterior colour	core colour	interior	Inclusions	RIM_DIRECTION	LIP	RIM_LIP	radius	Burnished_inside	Burnished_outside	Multi-Impressed	Dash-Impressed_comb	LT-Impressed_comb	Fingernail	Punctate	Incised	Incised_comb	Grooved	Applique	Row_dashes_single	Row_dashes_multiple	Dots	Dashes	Dashes_slanted	Circles	Spikes	Stick	Columns_straight	Columns_slanted	Spaced_rows	Trails	Lines_straight	Lines_wavy	Lines_undulus	Tracks	Cresents	Triangles	Triangles_desc_dots	Single_col	Musical	Nubbin	Nubbin_donut	Agarabi_Adzera
NNA	N	162	NNA/162	body	Y	161.1	14.94	sienna4	salmon4	salmon2	Moderate			_		Y	N		Y					Y			Y			Y									Y											notAdzera
NNA	N	163	NNA/163	body	Y	68.1	11.03	sienna3	salmon4	tan4	Moderate			_					Y									Y		Y																				notAdzera
NNA	N	164	NNA/164	body	Y	60.6	11.52	sienna4	dark grey	salmon3	Moderate			_		Y	N		Y									Y		Y														Y						AMR
NNA	N	165	NNA/165	body	Y	72.5	12.5	tan4	grey	sienna3	Moderate			_			Y		Y			Y						Y		Y			Y		Y															AMR
NNA	N	166	NNA/166	body	Y	107.7	13.67	sienna1	salmon4	sienna4	Moderate			_		N	N		Y			Y						Y		Y			Y		Y															AMR
NNA	N	168	NNA/168	body	Y	223.9	11.44	sienna3	salmon4	sienna3	Moderate			_	NA				Y									Y		Y					Y									Y						AMR
NNA	N	169	NNA/169	body	Y	106.5	11.82	sienna4	dark grey	sienna1	Moderate			_		N	Y		Y			Y						Y		Y														Y						AMR
NNA	N	170	NNA/170	body	Y	53.3	11.38	sienna3	salmon4	sienna3	Moderate			_		Y			Y									Y		Y														Y						AMR
NNA	N	171	NNA/171	body	Y	75.5	16.19	tan4	salmon4	sienna3	Moderate			_			N		Y					Y				Y		Y					Y															AMR
NNA	N	173	NNA/173	body	Y	187.6	12.09	salmon3	salmon4	salmon3	Moderate			_		Y	Y		Y									Y		Y														Y						AMR
NNA	N	177	NNA/177	body	Y	14	8.82	salmon4	salmon4	salmon4	Moderate			_		N	N		Y			Y						Y		Y			Y																	notAdzera
NNA	N	181	NNA/181	body	Y	102.1	11.53	tan1	salmon4	tan1	Moderate			_			Y		Y			Y						Y		Y																				notAdzera
NNA	N	182	NNA/182	body	Y	218.6	12.38	salmon3	salmon4	salmon3	Moderate			_			Y		Y									Y		Y							Y													Agarabi
NNA	N	183	NNA/183	body	Y	153.5	10.63	sienna3	salmon4	sienna3	Moderate			_			Y		Y			Y						Y		Y			Y																	notAdzera
NNA	N	184	NNA/184	body	Y	35.9	10.64	salmon3	salmon3	salmon3	Moderate			_			Y		Y			Y						Y		Y				Y																AMR
NNA	N	188	NNA/188	body	Y	39.6	12.47	salmon3	grey	sienna3	Moderate			_			Y		Y									Y		Y																				notAdzera
NNA	N	190	NNA/190	body	Y	134	12.4	sienna4	salmon4	sienna3	Moderate			_		N			Y			Y						Y		Y			Y		Y															AMR
